,precision,recall,f1-score,support
ABT,0.4,0.42857142857142855,0.41379310344827586,14.0
ADBE,0.4,0.875,0.5490196078431373,16.0
BAC,0.4166666666666667,0.8333333333333334,0.5555555555555556,18.0
CVX,0.3333333333333333,0.9411764705882353,0.49230769230769234,17.0
DIS,0.36666666666666664,0.7333333333333333,0.4888888888888889,15.0
HD,0.37142857142857144,0.8125,0.5098039215686274,16.0
INTC,0.34210526315789475,0.9285714285714286,0.5,14.0
JPM,0.34210526315789475,0.9285714285714286,0.5,14.0
KO,0.4583333333333333,0.6111111111111112,0.5238095238095238,18.0
LLY,0.3157894736842105,0.75,0.4444444444444444,8.0
MA,0.4,0.6666666666666666,0.5,15.0
MRK,0.5263157894736842,0.625,0.5714285714285714,16.0
NFLX,0.4666666666666667,0.7777777777777778,0.5833333333333334,18.0
NVDA,0.6666666666666666,0.75,0.7058823529411765,8.0
ORCL,0.5161290322580645,0.8,0.6274509803921569,20.0
PEP,0.4230769230769231,0.6875,0.5238095238095238,16.0
PFE,0.2962962962962963,0.6153846153846154,0.4,13.0
PG,0.4117647058823529,0.7777777777777778,0.5384615384615384,18.0
TMO,0.4583333333333333,0.7857142857142857,0.5789473684210527,14.0
UNH,0.28205128205128205,0.8461538461538461,0.4230769230769231,13.0
WMT,0.4230769230769231,0.6875,0.5238095238095238,16.0
XOM,0.5333333333333333,0.8421052631578947,0.6530612244897959,19.0
micro avg,0.4012539184952978,0.7619047619047619,0.5256673511293635,336.0
macro avg,0.415915432888368,0.7592613075778711,0.5275856399104429,336.0
weighted avg,0.4180371974415313,0.7619047619047619,0.5310343614797565,336.0
samples avg,0.39952480389980394,0.7678637566137566,0.5133455821248594,336.0
